name,description
[Hello](#DOCS_TOPICS_GATEWAY/hello),defines the heartbeat interval
[Ready](#DOCS_TOPICS_GATEWAY/ready),contains the initial state information
[Resumed](#DOCS_TOPICS_GATEWAY/resumed),response to [Resume](#DOCS_TOPICS_GATEWAY/resume)
[Invalid Session](#DOCS_TOPICS_GATEWAY/invalid-session),failure response to [Identify](#DOCS_TOPICS_GATEWAY/identify) or [Resume](#DOCS_TOPICS_GATEWAY/resume) or invalid active session
[Channel Create](#DOCS_TOPICS_GATEWAY/channel-create),new channel created
[Channel Update](#DOCS_TOPICS_GATEWAY/channel-update),channel was updated
[Channel Delete](#DOCS_TOPICS_GATEWAY/channel-delete),channel was deleted
[Channel Pins Update](#DOCS_TOPICS_GATEWAY/channel-pins-update),message was pinned or unpinned
[Guild Create](#DOCS_TOPICS_GATEWAY/guild-create),"lazy-load for unavailable guild, guild became available, or user joined a new guild"
[Guild Update](#DOCS_TOPICS_GATEWAY/guild-update),guild was updated
[Guild Delete](#DOCS_TOPICS_GATEWAY/guild-delete),"guild became unavailable, or user left/was removed from a guild"
[Guild Ban Add](#DOCS_TOPICS_GATEWAY/guild-ban-add),user was banned from a guild
[Guild Ban Remove](#DOCS_TOPICS_GATEWAY/guild-ban-remove),user was unbanned from a guild
[Guild Emojis Update](#DOCS_TOPICS_GATEWAY/guild-emojis-update),guild emojis were updated
[Guild Integrations Update](#DOCS_TOPICS_GATEWAY/guild-integrations-update),guild integration was updated
[Guild Member Add](#DOCS_TOPICS_GATEWAY/guild-member-add),new user joined a guild
[Guild Member Remove](#DOCS_TOPICS_GATEWAY/guild-member-remove),user was removed from a guild
[Guild Member Update](#DOCS_TOPICS_GATEWAY/guild-member-update),guild member was updated
[Guild Members Chunk](#DOCS_TOPICS_GATEWAY/guild-members-chunk),response to [Request Guild Members](#DOCS_TOPICS_GATEWAY/request-guild-members)
[Guild Role Create](#DOCS_TOPICS_GATEWAY/guild-role-create),guild role was created
[Guild Role Update](#DOCS_TOPICS_GATEWAY/guild-role-update),guild role was updated
[Guild Role Delete](#DOCS_TOPICS_GATEWAY/guild-role-delete),guild role was deleted
[Message Create](#DOCS_TOPICS_GATEWAY/message-create),message was created
[Message Update](#DOCS_TOPICS_GATEWAY/message-update),message was edited
[Message Delete](#DOCS_TOPICS_GATEWAY/message-delete),message was deleted
[Message Delete Bulk](#DOCS_TOPICS_GATEWAY/message-delete-bulk),multiple messages were deleted at once
[Message Reaction Add](#DOCS_TOPICS_GATEWAY/message-reaction-add),user reacted to a message
[Message Reaction Remove](#DOCS_TOPICS_GATEWAY/message-reaction-remove),user removed a reaction from a message
[Message Reaction Remove All](#DOCS_TOPICS_GATEWAY/message-reaction-remove-all),all reactions were explicitly removed from a message
[Presence Update](#DOCS_TOPICS_GATEWAY/presence-update),user was updated
[Typing Start](#DOCS_TOPICS_GATEWAY/typing-start),user started typing in a channel
[User Update](#DOCS_TOPICS_GATEWAY/user-update),properties about the user changed
[Voice State Update](#DOCS_TOPICS_GATEWAY/voice-state-update),"someone joined, left, or moved a voice channel"
[Voice Server Update](#DOCS_TOPICS_GATEWAY/voice-server-update),guild's voice server was updated
[Webhooks Update](#DOCS_TOPICS_GATEWAY/webhooks-update),"guild channel webhook was created, update, or deleted"
